Sent,Word,Tag
sent: 0,Bahubali,B-Per
sent: 0,3,Other
sent: 0,ke,Other
sent: 0,liye,Other
sent: 0,line,Other
sent: 0,lag,Other
sent: 0,rahi,Other
sent: 0,hai,Other
sent: 0,cinema,B-Org
sent: 0,ke,Other
sent: 0,bahar,Other
sent: 0,#moviecraze,Other
sent: 0,#Bahubali3,B-Per
sent: 1,#notebandi,Other
sent: 1,ke,Other
sent: 1,waqt,Other
sent: 1,ATM,B-Org
sent: 1,me,Other
sent: 1,kitni,Other
sent: 1,lambi,Other
sent: 1,line,Other
sent: 1,thi,Other
sent: 1,yaad,Other
sent: 1,hai,Other
sent: 1,kya,Other
sent: 2,Modi,B-Per
sent: 2,ji,B-Par
sent: 2,ne,Other
sent: 2,kaha,Other
sent: 2,ki,Other
sent: 2,#GST,B-Org
sent: 2,se,Other
sent: 2,desh,B-Org
sent: 2,ko,Other
sent: 2,bahut,Other
sent: 2,fayda,Other
sent: 2,hoga,Other
sent: 3,agar,Other
sent: 3,political,B-Org
sent: 3,party,I-Org
sent: 3,kuch,Other
sent: 3,nahi,Other
sent: 3,kar,Other
sent: 3,rahi,Other
sent: 3,to,Other
sent: 3,public,B-Org
sent: 3,kya,Other
sent: 3,kare,Other
sent: 3,@PMOIndia,B-Per
sent: 4,Delhi,B-Loc
sent: 4,me,Other
sent: 4,pollution,Other
sent: 4,level,Other
sent: 4,bahut,Other
sent: 4,jyada,Other
sent: 4,hai,Other
sent: 4,lekin,Other
sent: 4,koi,Other
sent: 4,action,Other
sent: 4,nahi,Other
sent: 4,le,Other
sent: 4,raha,Other
sent: 5,cricket,Other
sent: 5,match,Other
sent: 5,me,Other
sent: 5,Virat,B-Per
sent: 5,Kohli,I-Per
sent: 5,ne,Other
sent: 5,century,Other
sent: 5,banayi,Other
sent: 5,aur,Other
sent: 5,India,B-Org
sent: 5,jeet,Other
sent: 5,gayi,Other
sent: 6,#demonetisation,Other
sent: 6,ka,Other
sent: 6,asar,Other
sent: 6,abhi,Other
sent: 6,tak,Other
sent: 6,economy,B-Org
sent: 6,par,Other
sent: 6,dikhai,Other
sent: 6,de,Other
sent: 6,raha,Other
sent: 6,hai,Other
sent: 7,kya,Other
sent: 7,aap,Other
sent: 7,soch,Other
sent: 7,rahe,Other
sent: 7,ho,Other
sent: 7,ki,Other
sent: 7,BJP,B-Org
sent: 7,2024,Other
sent: 7,me,Other
sent: 7,jeetegi,Other
sent: 7,election,Other
sent: 8,Mumbai,B-Loc
sent: 8,me,Other
sent: 8,barish,Other
sent: 8,ke,Other
sent: 8,karan,Other
sent: 8,trains,Other
sent: 8,late,Other
sent: 8,chal,Other
sent: 8,rahi,Other
sent: 8,hain,Other
sent: 9,Shah,B-Per
sent: 9,Rukh,I-Per
sent: 9,Khan,I-Per
sent: 9,ki,Other
sent: 9,nayi,Other
sent: 9,film,Other
sent: 9,release,Other
sent: 9,hone,Other
sent: 9,wali,Other
sent: 9,hai,Other
sent: 9,next,Other
sent: 9,month,Other
sent: 10,#EVMhacking,Other
sent: 10,pe,Other
sent: 10,bahut,Other
sent: 10,controversy,Other
sent: 10,ho,Other
sent: 10,rahi,Other
sent: 10,hai,Other
sent: 10,social,B-Org
sent: 10,media,I-Org
sent: 10,par,Other
sent: 11,Rahul,B-Per
sent: 11,Gandhi,I-Per
sent: 11,aaj,Other
sent: 11,Parliament,B-Org
sent: 11,me,Other
sent: 11,speech,Other
sent: 11,denge,Other
sent: 11,desh,B-Org
sent: 11,ki,Other
sent: 11,problems,Other
sent: 11,par,Other
sent: 12,kitne,Other
sent: 12,log,Other
sent: 12,abhi,Other
sent: 12,tak,Other
sent: 12,#GST,B-Org
sent: 12,ko,Other
sent: 12,samajh,Other
sent: 12,nahi,Other
sent: 12,paye,Other
sent: 12,hain,Other
sent: 12,#confusion,Other
sent: 13,Delhi,B-Loc
sent: 13,University,B-Org
sent: 13,me,Other
sent: 13,admission,Other
sent: 13,ke,Other
sent: 13,liye,Other
sent: 13,students,Other
sent: 13,line,Other
sent: 13,me,Other
sent: 13,khade,Other
sent: 13,hain,Other
sent: 14,aap,Other
sent: 14,logon,Other
sent: 14,ne,Other
sent: 14,kabhi,Other
sent: 14,socha,Other
sent: 14,hai,Other
sent: 14,ki,Other
sent: 14,RBI,B-Org
sent: 14,governor,Other
sent: 14,kya,Other
sent: 14,karta,Other
sent: 14,hai,Other
sent: 15,Amitabh,B-Per
sent: 15,Bachchan,I-Per
sent: 15,ne,Other
sent: 15,KBC,B-Org
sent: 15,me,Other
sent: 15,poocha,Other
sent: 15,sawaal,Other
sent: 15,jo,Other
sent: 15,koi,Other
sent: 15,nahi,Other
sent: 15,kar,Other
sent: 15,paya,Other
sent: 16,#notebandi,Other
sent: 16,se,Other
sent: 16,kitne,Other
sent: 16,log,Other
sent: 16,pareshan,Other
sent: 16,hue,Other
sent: 16,the,Other
sent: 16,lekin,Other
sent: 16,government,B-Org
sent: 16,ne,Other
sent: 16,kaha,Other
sent: 16,sab,Other
sent: 16,theek,Other
sent: 16,hai,Other
sent: 17,kya,Other
sent: 17,aap,Other
sent: 17,jaante,Other
sent: 17,hain,Other
sent: 17,ki,Other
sent: 17,Taj,B-Loc
sent: 17,Mahal,I-Loc
sent: 17,ko,Other
sent: 17,banane,Other
sent: 17,me,Other
sent: 17,kitne,Other
sent: 17,saal,Other
sent: 17,lage,Other
sent: 18,Cricket,B-Org
sent: 18,World,I-Org
sent: 18,Cup,I-Org
sent: 18,me,Other
sent: 18,India,B-Org
sent: 18,ka,Other
sent: 18,performance,Other
sent: 18,kaisa,Other
sent: 18,raha,Other
sent: 18,ab,Other
sent: 18,tak,Other
sent: 19,kal,Other
sent: 19,Bangalore,B-Loc
sent: 19,me,Other
sent: 19,baarish,Other
sent: 19,hogi,Other
sent: 19,isliye,Other
sent: 19,apna,Other
sent: 19,umbrella,Other
sent: 19,le,Other
sent: 19,jana,Other
sent: 19,na,B-Par
sent: 19,bhulein,Other
sent: 20,jab,Other
sent: 20,Jio,B-Org
sent: 20,launch,Other
sent: 20,hua,Other
sent: 20,tha,Other
sent: 20,tab,Other
sent: 20,sabko,Other
sent: 20,free,Other
sent: 20,data,Other
sent: 20,mila,Other
sent: 20,tha,Other
sent: 20,yaad,Other
sent: 20,hai,Other
sent: 21,Hyderabad,B-Loc
sent: 21,ke,Other
sent: 21,biryani,B-Cul
sent: 21,ka,Other
sent: 21,koi,Other
sent: 21,jawab,Other
sent: 21,nahi,Other
sent: 21,hai,Other
sent: 21,duniya,Other
sent: 21,me,Other
sent: 22,IPL,B-Org
sent: 22,me,Other
sent: 22,kaun,Other
sent: 22,si,Other
sent: 22,team,Other
sent: 22,jeetegi,Other
sent: 22,is,Other
sent: 22,baar,Other
sent: 22,kya,Other
sent: 22,lagta,Other
sent: 22,hai,Other
sent: 22,aapko,Other
sent: 23,Narendra,B-Per
sent: 23,Modi,I-Per
sent: 23,ji,B-Par
sent: 23,ne,Other
sent: 23,kaha,Other
sent: 23,ki,Other
sent: 23,sab,Other
sent: 23,digital,Other
sent: 23,payment,Other
sent: 23,use,Other
sent: 23,karein,Other
sent: 23,#digitalpayment,Other
sent: 24,aaj,Other
sent: 24,Delhi,B-Loc
sent: 24,me,Other
sent: 24,temperature,Other
sent: 24,kitna,Other
sent: 24,hai,Other
sent: 24,bahut,Other
sent: 24,garmi,Other
sent: 24,lag,Other
sent: 24,rahi,Other
sent: 24,hai,Other
sent: 25,kitne,Other
sent: 25,log,Other
sent: 25,jaante,Other
sent: 25,hain,Other
sent: 25,ki,Other
sent: 25,Taj,B-Loc
sent: 25,Mahal,I-Loc
sent: 25,Agra,B-Loc
sent: 25,me,Other
sent: 25,hai,Other
sent: 25,aur,Other
sent: 25,UNESCO,B-Org
sent: 25,site,Other
sent: 25,hai,Other
sent: 26,#FarmersProtest,Other
sent: 26,ke,Other
sent: 26,baare,Other
sent: 26,me,Other
sent: 26,sarkar,B-Org
sent: 26,ka,Other
sent: 26,kya,Other
sent: 26,kehna,Other
sent: 26,hai,Other
sent: 26,abhi,Other
sent: 26,tak,Other
sent: 27,kya,Other
sent: 27,aapne,Other
sent: 27,kabhi,Other
sent: 27,Red,B-Loc
sent: 27,Fort,I-Loc
sent: 27,visit,Other
sent: 27,kiya,Other
sent: 27,hai,Other
sent: 27,Delhi,B-Loc
sent: 27,me,Other
sent: 28,Amazon,B-Org
sent: 28,aur,Other
sent: 28,Flipkart,B-Org
sent: 28,dono,Other
sent: 28,ka,Other
sent: 28,sale,Other
sent: 28,chal,Other
sent: 28,raha,Other
sent: 28,hai,Other
sent: 28,kya,Other
sent: 28,kharida,Other
sent: 28,aapne,Other
sent: 29,Virat,B-Per
sent: 29,Kohli,I-Per
sent: 29,aur,Other
sent: 29,Anushka,B-Per
sent: 29,Sharma,I-Per
sent: 29,ki,Other
sent: 29,shaadi,Other
sent: 29,kitni,Other
sent: 29,sundar,Other
sent: 29,thi,Other
sent: 29,#Virushka,Other
sent: 30,desh,B-Org
sent: 30,me,Other
sent: 30,unemployment,Other
sent: 30,ki,Other
sent: 30,problem,Other
sent: 30,bahut,Other
sent: 30,serious,Other
sent: 30,hai,Other
sent: 30,lekin,Other
sent: 30,koi,Other
sent: 30,baat,Other
sent: 30,nahi,Other
sent: 30,kar,Other
sent: 30,raha,Other
sent: 31,Main,Other
sent: 31,soch,Other
sent: 31,raha,Other
sent: 31,hoon,Other
sent: 31,ki,Other
sent: 31,TCS,B-Org
sent: 31,me,Other
sent: 31,job,Other
sent: 31,apply,Other
sent: 31,karu,Other
sent: 31,ya,Other
sent: 31,Infosys,B-Org
sent: 31,me,Other
sent: 32,#EVMhacking,Other
sent: 32,ke,Other
sent: 32,baare,Other
sent: 32,me,Other
sent: 32,opposition,B-Org
sent: 32,ka,Other
sent: 32,kehna,Other
sent: 32,hai,Other
sent: 32,ki,Other
sent: 32,machines,Other
sent: 32,hack,Other
sent: 32,ho,Other
sent: 32,sakti,Other
sent: 32,hain,Other
sent: 33,Aadhaar,B-Org
sent: 33,card,Other
sent: 33,banwane,Other
sent: 33,ke,Other
sent: 33,liye,Other
sent: 33,kitne,Other
sent: 33,documents,Other
sent: 33,chahiye,Other
sent: 33,hote,Other
sent: 33,hain,Other
sent: 34,#notebandi,Other
sent: 34,ke,Other
sent: 34,baad,Other
sent: 34,RBI,B-Org
sent: 34,ne,Other
sent: 34,nayi,Other
sent: 34,currency,Other
sent: 34,notes,Other
sent: 34,introduce,Other
sent: 34,kiye,Other
sent: 34,the,Other
sent: 35,kya,Other
sent: 35,aap,Other
sent: 35,jaante,Other
sent: 35,hain,Other
sent: 35,ki,Other
sent: 35,IIT,B-Org
sent: 35,Bombay,I-Org
sent: 35,India,B-Loc
sent: 35,ka,Other
sent: 35,top,Other
sent: 35,engineering,Other
sent: 35,college,Other
sent: 35,hai,Other
sent: 36,Bollywood,B-Org
sent: 36,me,Other
sent: 36,naye,Other
sent: 36,actors,Other
sent: 36,aane,Other
sent: 36,se,Other
sent: 36,competition,Other
sent: 36,badh,Other
sent: 36,gaya,Other
sent: 36,hai,Other
sent: 37,kya,Other
sent: 37,aapko,Other
sent: 37,pata,Other
sent: 37,hai,Other
sent: 37,ki,Other
sent: 37,Chennai,B-Loc
sent: 37,pehle,Other
sent: 37,Madras,B-Loc
sent: 37,ke,Other
sent: 37,naam,Other
sent: 37,se,Other
sent: 37,jana,Other
sent: 37,jata,Other
sent: 37,tha,Other
sent: 38,#GST,B-Org
sent: 38,implementation,Other
sent: 38,ke,Other
sent: 38,waqt,Other
sent: 38,business,Other
sent: 38,walo,Other
sent: 38,ko,Other
sent: 38,bahut,Other
sent: 38,problem,Other
sent: 38,face,Other
sent: 38,karni,Other
sent: 38,padi,Other
sent: 39,Mumbai,B-Loc
sent: 39,ki,Other
sent: 39,local,Other
sent: 39,train,Other
sent: 39,kitni,Other
sent: 39,crowded,Other
sent: 39,hoti,Other
sent: 39,hai,Other
sent: 39,subah,Other
sent: 39,ke,Other
sent: 39,time,Other
sent: 40,Tata,B-Org
sent: 40,Motors,I-Org
sent: 40,ne,Other
sent: 40,nayi,Other
sent: 40,electric,Other
sent: 40,car,Other
sent: 40,launch,Other
sent: 40,ki,Other
sent: 40,hai,Other
sent: 40,jo,Other
sent: 40,bahut,Other
sent: 40,achhi,Other
sent: 40,hai,Other
sent: 41,jab,Other
sent: 41,Sachin,B-Per
sent: 41,Tendulkar,I-Per
sent: 41,ne,Other
sent: 41,cricket,Other
sent: 41,se,Other
sent: 41,retirement,Other
sent: 41,li,Other
sent: 41,thi,Other
sent: 41,tab,Other
sent: 41,pure,Other
sent: 41,desh,B-Org
sent: 41,me,Other
sent: 41,dukh,Other
sent: 41,tha,Other
sent: 42,Bengaluru,B-Loc
sent: 42,me,Other
sent: 42,traffic,Other
sent: 42,kitna,Other
sent: 42,bad,Other
sent: 42,hai,Other
sent: 42,roz,Other
sent: 42,log,Other
sent: 42,pareshan,Other
sent: 42,ho,Other
sent: 42,jate,Other
sent: 42,hain,Other
sent: 43,aapne,Other
sent: 43,dekha,Other
sent: 43,hoga,Other
sent: 43,ki,Other
sent: 43,Silicon,B-Loc
sent: 43,Valley,I-Loc
sent: 43,of,I-Loc
sent: 43,India,I-Loc
