Sent,Word,Tag
sent: 0,Rahul,B-Per
sent: 0,Gandhi,I-Per
sent: 0,ne,Other
sent: 0,Congress,B-Org
sent: 0,party,I-Org
sent: 0,ki,Other
sent: 0,meeting,Other
sent: 0,Delhi,B-Loc
sent: 0,me,Other
sent: 0,bulayi,Other
sent: 1,Amitabh,B-Per
sent: 1,Bachchan,I-Per
sent: 1,ji,B-Par
sent: 1,Bollywood,B-Org
sent: 1,ke,Other
sent: 1,sabse,Other
sent: 1,bade,Other
sent: 1,star,Other
sent: 1,hai,Other
sent: 2,mere,Other
sent: 2,chacha,B-Kin
sent: 2,ji,B-Par
sent: 2,Mumbai,B-Loc
sent: 2,me,Other
sent: 2,rehte,Other
sent: 2,hai,Other
sent: 2,aur,Other
sent: 2,TCS,B-Org
sent: 2,me,Other
sent: 2,kaam,Other
sent: 2,karte,Other
sent: 2,hai,Other
sent: 3,Diwali,B-Cul
sent: 3,ka,Other
sent: 3,tyohar,I-Cul
sent: 3,Hindu,B-Rel
sent: 3,dharma,I-Rel
sent: 3,me,Other
sent: 3,roshni,Other
sent: 3,ka,Other
sent: 3,parv,Other
sent: 3,mana,Other
sent: 3,jata,Other
sent: 3,hai,Other
sent: 4,Narendra,B-Per
sent: 4,Modi,I-Per
sent: 4,ne,Other
sent: 4,United,B-Org
sent: 4,Nations,I-Org
sent: 4,me,Other
sent: 4,yoga,B-Cul
sent: 4,ke,Other
sent: 4,mahatva,Other
sent: 4,par,Other
sent: 4,baat,Other
sent: 4,ki,Other
sent: 5,yaar,B-Par
sent: 5,tum,Other
sent: 5,kab,Other
sent: 5,Hyderabad,B-Loc
sent: 5,aa,Other
sent: 5,rahe,Other
sent: 5,ho,Other
sent: 5,Charminar,B-Loc
sent: 5,dekhne,Other
sent: 5,chalenge,Other
sent: 6,mere,Other
sent: 6,bhaiya,B-Kin
sent: 6,ji,B-Par
sent: 6,aaj,Other
sent: 6,Ganga,B-Loc
sent: 6,nadi,I-Loc
sent: 6,me,Other
sent: 6,snan,B-Cul
sent: 6,karne,Other
sent: 6,gaye,Other
sent: 6,hai,Other
sent: 7,Ramzan,B-Rel
sent: 7,ke,Other
sent: 7,mauke,Other
sent: 7,par,Other
sent: 7,Muslim,B-Rel
sent: 7,bhai,B-Kin
sent: 7,roza,B-Cul
sent: 7,rakhte,Other
sent: 7,hai,Other
sent: 7,aur,Other
sent: 7,iftar,B-Cul
sent: 7,karte,Other
