Sent,Word,Tag
1,Rahul,B-Per
1,Sharma,I-Per
1,went,Other
1,to,Other
1,Mumbai,B-Loc
1,with,Other
1,his,Other
1,brother,B-Kin
1,yesterday,Other
1,.,Other
2,Microsoft,B-Org
2,Corporation,I-Org
2,announced,Other
2,a,Other
2,new,Other
2,partnership,Other
2,with,Other
2,Google,B-Org
2,Inc,I-Org
2,in,Other
2,New,B-Loc
2,Delhi,I-Loc
2,.,Other
3,The,Other
3,Hindu,B-Rel
3,festival,Other
3,of,Other
3,Diwali,B-Cul
3,is,Other
3,celebrated,Other
3,across,Other
3,India,B-Loc
3,.,Other
4,Yaar,B-Par
4,,Other
4,I,Other
4,think,Other
4,Ananya,B-Per
4,Patel,I-Per
4,will,Other
4,be,Other
4,joining,Other
4,us,Other
4,for,Other
4,dinner,Other
4,.,Other
5,My,Other
5,uncle,B-Kin
5,and,Other
5,aunt,B-Kin
5,visited,Other
5,from,Other
5,Chennai,B-Loc
5,last,Other
5,week,Other
5,.,Other
6,The,Other
6,CEO,Other
6,of,Other
6,Tata,B-Org
6,Motors,I-Org
6,,Other
6,Ratan,B-Per
6,Tata,I-Per
6,,Other
6,gave,Other
6,a,Other
6,speech,Other
6,.,Other
7,We,Other
7,celebrated,Other
7,Eid,B-Rel
7,at,Other
7,our,Other
7,grandmother's,B-Kin
7,house,Other
7,in,Other
7,Kolkata,B-Loc
7,.,Other
8,Arrey,B-Par
8,bhai,B-Kin
8,,Other
8,listen,Other
8,to,Other
8,what,Other
8,I'm,Other
8,saying,Other
8,!,Other
9,The,Other
9,Bharatanatyam,B-Cul
9,performance,Other
9,by,Other
9,Meera,B-Per
9,Krishnan,I-Per
9,was,Other
9,amazing,Other
9,.,Other
10,Ji,B-Par
10,,Other
10,I'll,Other
10,complete,Other
10,the,Other
10,assignment,Other
10,by,Other
10,tomorrow,Other
10,.,Other
11,The,Other
11,Reserve,B-Org
11,Bank,I-Org
11,of,I-Org
11,India,I-Org
11,announced,Other
11,new,Other
11,policies,Other
11,yesterday,Other
11,.,Other
12,Neha,B-Per
12,and,Other
12,Rajesh,B-Per
12,visited,Other
12,the,Other
12,Taj,B-Loc
12,Mahal,I-Loc
12,in,Other
12,Agra,B-Loc
12,.,Other
13,The,Other
13,Buddhist,B-Rel
13,monks,Other
13,from,Other
13,Tibet,B-Loc
13,performed,Other
13,meditation,B-Cul
13,at,Other
13,the,Other
13,temple,Other
13,.,Other
14,Haan,B-Par
14,,Other
14,I,Other
14,agree,Other
14,with,Other
14,what,Other
14,Dr.,B-Per
14,Patel,I-Per
14,is,Other
14,suggesting,Other
14,.,Other
15,My,Other
15,chacha,B-Kin
15,ji,I-Par
15,works,Other
15,at,Other
15,Infosys,B-Org
15,in,Other
15,Bengaluru,B-Loc
15,.,Other
16,Virat,B-Per
16,Kohli,I-Per
16,scored,Other
16,a,Other
16,century,Other
16,for,Other
16,Royal,B-Org
16,Challengers,I-Org
16,Bangalore,I-Org
16,.,Other
17,We,Other
17,are,Other
17,planning,Other
17,to,Other
17,visit,Other
17,Varanasi,B-Loc
17,during,Other
17,the,Other
17,Kumbh,B-Cul
17,Mela,I-Cul
17,.,Other
18,Sundar,B-Per
18,Pichai,I-Per
18,is,Other
18,the,Other
18,CEO,Other
18,of,Other
18,Alphabet,B-Org
18,Inc,I-Org
18,.,Other
19,The,Other
19,Sikh,B-Rel
19,community,Other
19,celebrated,Other
19,Guru,B-Per
19,Nanak,I-Per
19,Jayanti,B-Cul
19,yesterday,Other
19,.,Other
20,Accha,B-Par
20,,Other
20,tell,Other
20,me,Other
20,more,Other
20,about,Other
20,your,Other
20,trip,Other
20,to,Other
20,South,B-Loc
20,India,I-Loc
20,.,Other
21,The,Other
21,United,B-Org
21,Nations,I-Org
21,representatives,Other
21,visited,Other
21,New,B-Loc
21,York,I-Loc
21,last,Other
21,month,Other
21,.,Other
22,My,Other
22,dadi,B-Kin
22,told,Other
22,me,Other
22,stories,Other
22,about,Other
22,the,Other
22,Ramayana,B-Cul
22,when,Other
22,I,Other
22,was,Other
22,young,Other
22,.,Other
23,Prime,B-Per
23,Minister,I-Per
23,Modi,I-Per
23,inaugurated,Other
23,the,Other
23,new,Other
23,Parliament,B-Org
23,building,Other
23,in,Other
23,Delhi,B-Loc
23,.,Other
24,The,Other
24,Muslim,B-Rel
24,community,Other
24,in,Other
24,Hyderabad,B-Loc
24,celebrates,Other
24,Ramadan,B-Cul
24,with,Other
24,great,Other
24,enthusiasm,Other
24,.,Other
25,Abbe,B-Par
25,yaar,I-Par
25,,Other
25,don't,Other
25,worry,Other
25,about,Other
25,it,Other
25,so,Other
25,much,Other
25,.,Other
26,The,Other
26,State,B-Org
26,Bank,I-Org
26,of,I-Org
26,India,I-Org
26,opened,Other
26,a,Other
26,new,Other
26,branch,Other
26,in,Other
26,Pune,B-Loc
26,.,Other
27,Aditya,B-Per
27,Birla,I-Per
27,Group,I-Org
27,has,Other
27,announced,Other
27,new,Other
27,investments,Other
27,in,Other
27,Rajasthan,B-Loc
27,.,Other
28,The,Other
28,Jain,B-Rel
28,temple,Other
28,in,Other
28,Mount,B-Loc
28,Abu,I-Loc
28,is,Other
