Sent,Word,Tag
sent: 0,Mahatma,B-Per
sent: 0,Gandhi,I-Per
sent: 0,ji,B-Par
sent: 0,ne,Other
sent: 0,Bharat,B-Loc
sent: 0,ko,Other
sent: 0,azadi,B-Cul
sent: 0,diya,Other
sent: 0,tha,Other
sent: 1,Microsoft,B-Org
sent: 1,Corporation,I-Org
sent: 1,ka,Other
sent: 1,headquarter,B-Org
sent: 1,Seattle,B-Loc
sent: 1,me,Other
sent: 1,hai,Other
sent: 2,Delhi,B-Loc
sent: 2,India,B-Loc
sent: 2,ka,Other
sent: 2,raajdhani,Other
sent: 2,hai,Other
sent: 3,Shiva,B-Rel
sent: 3,ji,I-Rel
sent: 3,ka,Other
sent: 3,mandir,B-Cul
sent: 3,Varanasi,B-Loc
sent: 3,me,Other
sent: 3,hai,Other
sent: 4,Amma,B-Kin
sent: 4,ji,I-Kin
sent: 4,ghar,Other
sent: 4,me,Other
sent: 4,hamesha,Other
sent: 4,pyaar,Other
sent: 5,Google,B-Org
sent: 5,ke,Other
sent: 5,founder,B-Org
sent: 5,Sergey,B-Per
sent: 5,Brin,I-Per
sent: 6,Islam,B-Rel
sent: 6,dharm,Other
sent: 6,hai,Other
sent: 7,New,B-Loc
sent: 7,York,I-Loc
sent: 7,me,Other
sent: 7,United,B-Org
sent: 7,Nations,I-Org
sent: 8,Ram,B-Per
sent: 8,ji,B-Par
sent: 8,ka,Other
sent: 8,janm,B-Cul
sent: 8,Uttar,B-Loc
sent: 8,Pradesh,I-Loc
sent: 9,Yaar,B-Par
sent: 9,tu,Other
sent: 9,kaise,Other
sent: 9,hai,Other
sent: 10,Church,B-Cul
sent: 10,of,Other
sent: 10,England,B-Rel
sent: 11,Mumbai,B-Loc
sent: 11,ka,Other
sent: 11,local,B-Org
sent: 11,train,I-Org
sent: 12,Jesus,B-Rel
sent: 12,Christ,I-Rel
sent: 12,ka,Other
sent: 12,jeevan,B-Cul
sent: 12,mahatvapurna,Other
sent: 13,Uncle,B-Kin
sent: 13,ji,B-Par
sent: 13,ne,Other
sent: 13,mujhe,Other
sent: 13,gift,Other
sent: 13,diya,Other
sent: 14,Facebook,B-Org
sent: 14,ke,Other
sent: 14,CEO,B-Org
sent: 14,Mark,B-Per
sent: 14,Zuckerberg,I-Per
sent: 15,Hinduism,B-Rel
sent: 15,ka,Other
sent: 15,ek,Other
sent: 15,pramukh,B-Cul
sent: 15,tyohar,Other
sent: 16,Delhi,B-Loc
sent: 16,se,Other
sent: 16,Agra,B-Loc
sent: 16,jaane,Other
sent: 16,ka,Other
sent: 16,raasta,Other
sent: 17,Grand,B-Org
sent: 17,Hyatt,I-Org
sent: 17,Hotel,I-Org
sent: 17,New,B-Loc
sent: 17,York,I-Loc
sent: 18,My,B-Kin
sent: 18,mother,B-Kin
sent: 18,ji,B-Par
sent: 18,is,Other
sent: 18,a,Other
sent: 18,teacher,Other
sent: 19,Shivaji,B-Per
sent: 19,Maharaj,I-Per
